Tweet,Target 1,Stance 1,seen?
"The UC system was envisioned in the 1960's to admit 13% of California high school students. Today, in practice, approximately 9% are admitted. Some of the reduction in admittance rates results from the fact that a larger number of students from out of state are admitted in order to capture more revenue. Regardless of this student's grades or scores, the fact is that a very large number of highly qualified students are turned away from the UC system every year. The impact is serious--they attend lesser in-state schools, go to out-of-state public universities, or they attend private schools. The other in-state schools are less expensive, but do not provide the same quality of education. Out-of-state public universities and private schools cost much more money, making these options harder for students to pursue. This doesn't seem like a wise education policy. The State of California ends up with a large number of students who are less educated, have higher debt rates, or leave the state permanently.",uc admittance policy,AGAINST,1
"The UC system was envisioned in the 1960's to admit 13% of California high school students. Today, in practice, approximately 9% are admitted. Some of the reduction in admittance rates results from the fact that a larger number of students from out of state are admitted in order to capture more revenue. Regardless of this student's grades or scores, the fact is that a very large number of highly qualified students are turned away from the UC system every year. The impact is serious--they attend lesser in-state schools, go to out-of-state public universities, or they attend private schools. The other in-state schools are less expensive, but do not provide the same quality of education. Out-of-state public universities and private schools cost much more money, making these options harder for students to pursue. This doesn't seem like a wise education policy. The State of California ends up with a large number of students who are less educated, have higher debt rates, or leave the state permanently.",california university,AGAINST,1
"So the only other option than the status quo is 1979? I don't buy it. I was on an airline yesterday, there was no room for my 6'3"" frame and my client won't cover 1st class. There needs to be minimum seating standards, and there needs to be a trigger to require the airlines to waive baggage fees if TSA lines are longer than 45 minutes. The airlines were quick with their hands out after 9/11, they won't lift a hand now that they are fat and happy. Some regulation sounds good to me. It doesn't mean Communism, it means common sense.",airline policy,AGAINST,1
"Dimissing this information simply because she does not have any initials after her name, is simply a excuse for intellectual laziness. It's clearly a defense mechanism for avoiding the facts. If she was espousing vegan ideals, you wouldn't even think about her credentials or lack thereof. Veganism is more akin to a religious movement, that a simple lifestyle choice. And just like any religion, people do not like having their beliefs questioned, even when their beliefs are clearly based on myth and legend. Everything she has stated here can be verified from scientific sources. It's not opinion but fact. But here is an opinion. Feeding children a vegan diet is child abuse. Pure and simple. Same as if parents feed their babies a diet of coke and chips",feeding child vegan diet,AGAINST,1
"How about obstetricians step up and admit that since men started controlling the birth process in hospital, women have suffered. Unneeded interventions and drugs, artificially induced labours, humiliating practices like shaving pubic hair, twilight sleep, episiotomies, Caesareans scheduled for the convenience of the doctor and his golf game, women with previous Caesareans not allowed to attempt a VBAC, babies and mothers separated at birth. If you're wondering why some women would want a home birth, take a look at yourselves and your practices.",baby,AGAINST,1
"Why do some people feel they must impose their lifestyle on others? Is it because they feel slighted by other people mocking their choices, or because they somehow have the what I do is better than what you do gene? The religious fanatics sound just like the people who push for one sort of eating behavior over others. Even Timothy o'Leary felt it was necessary to promote the benefits of LSD as a path to a better way of living. I am 80, still have all my faculties, omnivorous, obese, and lazy. Did outliving half the people who were born in 1932 come as a result of that? Or, more likly is it irrelevant. Maybe getting enough sleep was the factor, or walking everywhere as a teenager, or becoming an atheist after my Bar Mitzphah. Whatever. Oh, why does the Times feel it ingtelligent to publish B.S. like this? You eat what you want to eat, I'll eat what I want to eat and one of us will be in the ground before the other. And the planet will not know it, or even care.",religious fanatic,AGAINST,1
"Does a country that produced Sir Isaac Newton, Michael Faraday, and Charles Darwin - to name a few - does the U.K. not have enough courage to recognize the monarchy for what it is? A sad, limp remnant of a bygone era? Modern descendants of thugs who engaged in slaughter, rape and pillage before anointing themselves 'kings' deserve no respect or adulation from modern day citizens of the U.K. Even if modern royalty is only nominal and symbolic, their very existence is quite harmful to the notion of an egalitarian, democratic society to which civilized people aspire. It's way past time to put royals out to pasture. Kings and queens belong in story books, and history books. As individuals, they're probably nice people, but the institution of monarchy is quite a different matter.",thug,AGAINST,1
"I know of too many kids put through too many years of high school, utterly frustrated at the system. Usually they take as many AP classes as possible, or take the GED and go to college early, or if the system allows, spend half days in high school and half days in college. Another one I know completed college at night and summers while attending days in high school.Nearly all had to 'fight the system' to do this. Why should all of this be made so difficult ? Why can't these choices be an available option to all, instead of foot-dragging, paperwork-filled, unending office meetings, interminable official resistance , with insane remarks like 'but they will miss the senior prom', 'readiness', 'socialization' etc. They want out. Let them go.",road block education,AGAINST,1
"Allowing foreign airlines to serve domestic routes is definitely something that doesn't get brought up enough. It's funny how the domestic carriers are all for deregulation and increased competition in theory, but once outside foreign airlines are involved, they rely on what you rightfully point out is antiquated regulation. Fact is that Americans really only have a choice between four airlines for domestic travel and are subject to the whims of these companies. The airline industry is a monopolistic entity and should be treated as such. This means to be required to cooperate with certain regulations.",airline industry,AGAINST,1
Home schooling is pushed by the religious right because it does contain a healthy dose of religion of the non-liberal style. Tax credits for home schooling are just another way of using tax money for religious purposes. Next this group will push for payments to parents as teachers.,religious right,AGAINST,1
"Paying for something, anything, makes a person MORE civilized, not less. Men who rape, or short change, a prostitute are likely to do the same with their girlfriends and wives. There are only four ways a human being can procure anything in this world: Beg, borrow, steal, or, in a civilized society, pay for it. Anyone who thinks someone doesn't pay for sex has never been married. Period.",prostitution,AGAINST,1
"I am impressed by the many who think they can outthink the electric car mfgrs. In addition to the millions who want to own the latest innovative cars, practical or not, the range of these first cars is within the average trip distance of millions of workers, soccer moms, college kids. And the electrics add to the big car lines, will help bring customers into showrooms where the complete line will tempt buyers. Of course, the big buys have made big mistakes and could make more, but climate change, oil mess, environment awareness is very current. Don't bet too much against the guys spending billions on the electric car.",electric car,AGAINST,1
"Once standards in culture, entertainment and politics are debased, it's much easer for media conglomerates to take advantage of this to rake in more profits. People don't know any better, so they don't have the standards any more to judge quality. The entertainment or media product can be easily assembled without real talent. This goes for our politics too, where the most outrageous platforms are offered to voters, in the expectation that these garbage proposals will get a candidate elected. What are being elected are junk candidates, but many voters don't realize it. They have often voted against their own interests, as has been widely noted. Once junk seems normalized, it's not called junk anymore.",junk candidate,AGAINST,1
Of course tax breaks for the rich have hurt New York City--and perhaps the country. These tax breaks reveal the basis of inequality--subsidies for the wealthy at the expense of everyone else. That many of the wealthy taking advantage of these policies are foreigners only adds to the problem. Everyone would gain from making these wealthy moochers pay their fair share.,inequality,AGAINST,1
"Genes belong to the human race and other species. They should never be patented, owned or controlled by companies or governments or individuals. They belong in the public domain. They belong to everyone. They should never be used for profitable purposes. Margaret Nwton, MD",company,AGAINST,1
"""Should the obese person who goes to the doctor only for yearly checkups or the occasional sinus infection pay more in insurance than the one who uses health care at a far higher rate? "" Yes, because insurance is a shared risk pool that is based on statistical analysis. If we were to pay for our own conditions, we wouldn't need or have insurance, it would just be a waste of money. Certain lifestyle choices alter risk and it makes sense to put the people who take them in a different statistical category. This is why for example your car insurance rates go up if there's a young driver in the household, and your flood insurance rates go up if you live in a flood-prone area.",obesity,AGAINST,1
"If businesses want highly productive workers they'll start by changing the goals of the HR department from parts replacement to cultivation. Find out what motivates employees to work there: it will be different for each as they are individuals. Next, monitor managers: if they go through staff it must be for a reason. Fix him/her or replace the manager. Second, get rid of the annual review or the promise of an annual bonus. Instead, establish annual awards that allow anyone a chance at a big prize. I've made significant contributions to companies where I've worked and seen my hard work go to some hand-picked politico who did little but criticize me while I did the major lifting. The same with the annual review. Simply offer the worker more if he deserves it and be done with it. If the employee wants a review then let him/her suffer through it.",annual review,AGAINST,1
"Discipline is the first thing that any school worth its salt needs to teach. It is most important to teach respect for others, particularly fellow students who are there to learn not to be disrupted and distracted by this sort of thing. Freedom has become a useless trope in our society because we attach no responsibility to it. Long ago when I was attending an excellent public school we students would not have tolerated a person like the one you describe and let me say we were a remarkably tolerant class.",cherrypicking student,AGAINST,1
"At this juncture, with government at all levels struggling to pay for basic services while racing to the bottom regarding tax rates, there is little economic or business justification for treating the NFL more favorably when it comes to tax exemptions or tax rates. If anything, one could argue that entertainment activities like professional sports should be subject to surtaxes to help subsidize activities which are much more important to society, e.g., education, roads, communications, public safety.",sport preferred tax status,AGAINST,1
"WHITHER VW So VW scammed the world and pumped out far more carbon emissions than it claimed due to software manipulation. Stock brokerage institutions have reportedly gamed their software to give themselves an insider's advantage on trades. Both clearly over the line, there seems to be lots of cheating going on. The violations are made possible by software designers who follow the instructions of their employers to design packages that will get them the profits they want. In the case of VW, by hook or by crook. Probably the same for software that games the stock market. Still, if human beings can design the software, then human beings can understand it and monitor it. That would require the government developing new agencies on the order of the NSA (or expanding the NSA) to deter, intercept and halt software that does illegal things. Can we do the job? Yes, with diligence and lots of legislation and funding. Will we get the job done? Considering the histrionics in response to the NSA, I've got serious doubts. But ya never know. Perhaps in Germany at VW on ground zero?",vw,AGAINST,1
"This was the best post and it's disappointing to see only 2 comments. What the other writers do not seem to grasp is that we the taxpayers fund airports, TSA, the roads to and from the airports, many of the employees, etc. In that sense, we have a vested interest and a right to know what is really going on. Shopping for fares on the internet is a joke-- usually when it comes right down to it, the buyer has to choose the most expensive option as that is the only workable arrangement.",airline industry,AGAINST,1
"NO, NO NO- This is just another conservative ploy to defund pubic institutions and make them (for profit) private. Read Diane Racitch's ""Death and Life of the Great American School System"". A former Bush ""supply sider"" discounts the widespread mantra that charter schools and choice are good for education. I have worked with home schooled children (mostly for religious reasons) and have not been impressed with the so called advantages.",school privatization,AGAINST,1
"There is currently a glut of qualified teachers. Why are we taxpayers paying millions of dollars for TFA and, here in NYC, NYC Teaching Fellows, et al while other grad students like myself are struggling to get through paying our own way and facing more and more miserable job prospects?? Why should I (and laid off teachers) have to compete with govt-sponsored, less-qualified drones who are hand-picked for their willingness to follow blindly if not for the fact that they water down the labor force in a period when the government is trying to undercut and underfund US education?",teacher qualification,AGAINST,1
"If banks were doing what banks have traditionally done, i.e. provide credit for home purchases, small businesses, etc. they would not have to assess so many largely hidden fees. It seems since the financial collapse of 2008, banks are afraid to loan money. Even with interest rates as low as they are, providing consumers and the economy this essential service would provide them with the income they need to function.",fee,AGAINST,1
"There are many things that I find objectionable. Intellectual sloth, for one. The dumbed-down science and mathematics. The teachers' sloppy grammar and spelling. The language study that never gets beyond tourist phrases and insincere smalltalk. The pathetically underequipped half-efforts that pass for art classes. Why fear fringe lunatics? Are not the rigorists among us strong enough to make requests of our own?",things/classes dumbed people becoming intellectually lazy,AGAINST,1
"Like several other commenters, I chuckled at the notion that in successful and ethical corporations, ""employees receive a living wage, as well as increased pay and career advancement when their superiors feel that they've earned it."" I would be interested in a list of these successful and ethical corporations. For example, Wal-Mart is certainly successful by any measure, but is it ethical to pay wages so low that many employees qualify for Medicaid or their children qualify for reduced cost or free school lunches? In how many other successful corporations do taxpayers provide heavy subsidies to those who are not provided a living wage or benefits like health insurance? So, until such time as food service employers provide a living wage and reasonable health insurance, I will tip my servers as generously as I can. Consider that my protest against Mr. Shaw's ""capitalist"" system, where ""the man"" controls how much servers get paid.",ethic,AGAINST,1
"Sadly, at some point this is about a different sent of rules for Muslims. Burn an American flag, ok, rip up a photo of the Pope, ok, this is America. But deface a Koran and you are called out as an intolerant bigot. This is wrong on the face of it. And at the root is Islam's own intolerance. Strongly criticize their religion and they want to not just protest, but kill you. We need to stand up to this bullying. To the specific issue in this case, yes, fire the worker, if you also fire a worker who burns an America flag during an anti-war rally. Of course we know this wouldn't happen.",islam,AGAINST,1
"Ranking, per se, is unnecessary, and it would force colleges and induce students to focus on a single score rather than education. But more information is needed about the value of the educational experience each college provides. The government would do well to develop indexes of various kinds of student achievement. Perhaps five or ten indexes, uniformly scaled 0 to 10 or 0 100, would each measure an important aspect of a college's student body's performance. It would not be necessary to rank-order colleges, because each of the 5 or 10 scores would use the same standardized scale.",university,AGAINST,1
"""It would only invest the United States in the message that Israel is here to stay."" Why is it up to the United States to do any such thing? Israel has been in existence for nearly 70 years. It is up to them to make their own case for their own legitimacy. However, they have made a very poor case for it under Bibi.",u.s. embassy,AGAINST,1
"I am an omnivore who eats a well-balanced diet with plenty of fruit and vegetables, eggs and moderate amounts of meat. I love cheese and yogurt, milk in my oatmeal, a splash or two of half-and-half in my coffee. I don't bother with sunscreen unless I'm at the beach and get my sun from walking around the city and jogging in Central Park. However, at my last checkup, I discovered that I am deficient in vitamin D. My doctor recommended I add a supplement. It seems it's hard enough to get all the nutrients one needs for optimal health from an omnivore's diet. The few vegans I have known--granted, a small sampling--have always looked unhealthy to me, with sallow skin and dull hair. I knew a vegan who insisted on feeding her baby a vegan diet as well, and that poor child is underweight and I'm afraid to say not very bright. I will not condemn a vegan, however, for his or her dietary choices; I wish that those vegans who do take a self-righteous attitude toward non-vegans would not condemn us for ours.",well balanced diet,AGAINST,1
"Oftenthe comments sections are where the biased reporting is set to rights. Unfortunately for those of us who used to rely on the NYT to be unbiased straightforward reporting, thst has changed. As a result, opinions are presented as facts. Words pregnant with multiple meanings are used to slant stories to placate corproate owners. Comments give those of us who read other sources like European papers to as a bit of balance and to fact check the fact checkers. Comments are important. Those who don't like them have very likely been found out once to often by observant readers and they want it to stop! Let the people talk.",corporate owned medium,AGAINST,1
The issue is what do I have to pay for the bankers to have the privlege of using my money to make a profit. In older times they went out and made good investments. Now they just want to shake me down for every last farthing. Shame on them. They will be made to change and the sooner the better.,fee,AGAINST,1
"Ridiculous. Myriad can have a patent on the techniques used to sequence a gene, a patent on the test used to detect the gene, but they cannot patent the gene itself. It's the equivalent of Newton patenting F=MA - it's a fact of the natural world that mankind has discovered, not something new mankind has created.",gene patent,AGAINST,1
The world already has too many people. One only has to pick up the newspaper to read of thousands of people risking their necks to move to countries who do not want them in order to better their standard of living. A good example of overpopulation is Haiti. Haitian have too many babies. Their people try to migrate to other countries who spend resources to find such immigrants and deport them.,overcrowding,AGAINST,1
"No they should not be able to patent a human gene. They didn't create it. The gene has been there all along. Certainly the company owns the testing mechanism they develop. If someone developed a technique to alter genes so they are not destructive to us, that method is theirs to patent. But the ownership of the gene belongs to the people who carry them.",patent gene,AGAINST,1
"I am sorry but I agree. I love books and libraries. However, my kid being in elementary school, and having Library as special subject (along with music, gym, art, computers), I often think he better had a foreign language or something else instead of Library. The teachers already teach regularly the students about books and authors, and help them in this domain, in addition to very accessible local libraries and children librarians.",library school,AGAINST,1
"Should Europe shun Muslim refugees? Yes, but not only because of what happened in Paris! As much as these refugees are in a really bad situation - people seem to forget that there is already a huge problem in Europe with Muslim immigrants. For different reasons, these immigrants have not integrated into society, refuse to obey local laws and as a group are very hateful and intolerant towards others. You can either call me a racist or a realist - the facts are very hard to ignore. Anyone who thinks that these refugees will be different from those Muslims already in Europe is dreaming - allowing all these immigrants in will only worsen the existing situation in Europe. It is fine to want to help the refugees - how about the Arab countries in the region? I haven't actually seen any Arab countries offering help - or is that heresy?",immigration,AGAINST,1
"Exxon provides a public good, too. Our economy would stop without gasoline and other petroleum products. What people object to about huge college endowments is the sense they are more about hoarding and bragging rights than providing scholarships. Harvard is holding $30 billion. That money could provide an education to tens of thousands of students at many universities, but instead serves as a line item in the US News ranking of colleges suggesting that Harvard provides a superior education because they have this hoard. States should require these institutions to spend more of their endowments on services or, if they can't, share the money with other colleges or the state.",college endowment,AGAINST,1
"On our farm I frequently employ inmates from the county jail. A couple of thoughts here, ... according to my prospective jailed employees, in every case the judge has gotten it wrong and they are not guilty. They typically are satisfactory employees until they finish their sentence and then their attendance becomes erratic and they eventually fall off of the wagon, and head back to their drugs and criminal friends. On average they lack any sort of personal motivation to improve themselves. It is a sad deal. We are all in this together with these folks. I really don't know what we can do about this dead weight in society. Are Austrailia and New Zealand still accepting prisoners?",work ethic,AGAINST,1
It makes sense for healthcare and education to have special status. My family benefits directly and indirectly from these services. I receive no benefits whatever from sports. I never watch sports events on television and never attend a sporting event unless someone gives me free tickets.,sport league,AGAINST,1
"Well in the last 50 years there has been at least a small improvement in thinking. One doesn't hear ""god will take care of us"" or ""we have always found new sources of oil before"" as much as one used to. But there is still a very limited understanding of the problem, probably because so few of us thought seriously for a minute when our high school teachers were covering entropy and the second law of thermodynamics. The solar constant ultimately determines the carrying capacity since it provides us with all renewable energy sources: wind, water, solar. It must cover not only our daily energy needs, but also the energy needed to recover and reuse all non-renewable resources that we mine and scatter around the world as products. This limiting factor also means of course that all national states will approach zero-growth, steady state economies.",natural resource,AGAINST,1
"Asking a question about Wal Marts morality is offensive. The only thing that concerns them is the fast buck, and they have the money and power to make every devious argument in their favor. When they with the aid of hired politicians drive all competition to complete impotence, their utter disregard for the general welfare will cost us dearly.",corporate responsibility,AGAINST,1
"I imagine that Maureen Dowd's column, written after she ate a whole 420-laced candy car, is the impetus for this Room for Debate. I found that column astonishing. In this day and age of the Internet, for Ms. Dowd not to have educated herself a teeny-tiny bit felt more like behavior contrived to produce a compelling column than behavior in the real world. All I could think of from her column was the old Alka-Seltzer commercial. There are always going to be people who drink to the point of vomiting/hangover their first time out. They learn. And I bet if Ms. Dowd does it again, she won't eat the whole thing.",maureen dowd,AGAINST,1
with regards to that first comment about putting grafitti on t-shirts. ugh. graffiti belongs to the streets. it's not supposed to be marketed and profited upon. it's like those jerks who throw in extras on skateboards into cereal commercials. corporations trying to tap into subcultures which they know nothing about.,graffiti shirt,AGAINST,1
"When law schools became money machines, the quality of teaching and law schools in general plummeted. Students became consumers and classes became something They paid for and they expected good grades regardless of their commitment to the work or the quality of their results. Deans wanted monuments to their tenure....new buildings and more publication and students who were happy but not well trained. Believe me, I know. It's not the tests...",educational profit,AGAINST,1
"In totality, this is a false argument for a meat based diet. Being a physician and seeing literally hundreds of children in the US (in vegetarian spiritual groups), and thousands in India, it is clear that meat protein is the least needed source of nutrients regardless of the well known environmental argument against a meat based diet. My own children are a perfect example. My oldest son, having never eaten meat in his life is now a professor at one of the most respected universities in the world. He certainly could not have succeeded if he were deficient in all those nutrients me ruined in the article. It is a falacious statement to say that McDonalds will make a child healthier because of the meat protein.",mcdonalds make child healthier,AGAINST,1
"There are jobs that do no require concentration, focus, thought, or problem solving. Management is such a job. Marketing and sales is another. But for most everyone else open offices are the worst idea of all times. You will see that management will come up with such stupid ideas, and the marketing people will love it. The concept of thought is foreign to them, they think that the world goes around by everyone attending meetings all day. Again, worst idea of all times.",stupid manager,AGAINST,1
"LOL - I love the fact that even though the NYTimes clearly weighted the debate in favor of pageant supporters, the idea that a beauty pageant is somehow a great thing for women is getting completely slammed in the comments. Men are considered to have too much individual dignity and worth to be judged on something as shallow as what they look like in a bathing suit. That's why beauty pageants are only for women. We all know why some people support beauty pageants - because there's money to be made from exhibiting the bodies of little girls and young women, thanks to trashy parents. Just ask Honey Boo Boo.",miss america,AGAINST,1
America absolutely cannot and has loost all credibility as an honest broker a long time ago - except with corrupt Arab despots and dictaters such as was the case with Mubarak and now abdullawhom of saudi arabia whom it nurtures and protects.,israel,AGAINST,1
"Has anyone considered the long term strategy of drones? There seems to be no end to the war on terrorism and no end to drone attacks and no end to the killing of innocent people. Eventually the drones will have killed enough innocent people to turn the population against the US. It wont be Al-Quida, it will be vast segments of the populations that will become intolerant of this on going condition. Can you blame them?",attack,AGAINST,1
"Bruce S. Cooper's reasoning lacks supporting evidence: home-schooling parents do not save the taxpayers any money just as parents' whose ill children miss several days of public school do not save taxpayers money. Nor do parents who send their children to parochial schools save tax dollars. Public schools still have to be built, maintained and staffed regardless of whether some families keep its children at home or choose to send their children to private or parochial schools. Public education must plan and staff to educate _every_ child in the district. I have yet to see any empirical evidence to support the idea that home-schooling or private or religious schools save the taxpayers' money. Flinging around statistics about the average per pupil cost of public education is not the same thing as providing evidence that private or home education reduce the necessary expenditures of public school systems. Can anyone cite any tax bill which was reduced when when parochial schools closed? Mary Askew",home schoolers,AGAINST,1
The code of conduct is a farce -- judges are political animals. They always were and likely always will be. Marbury v Madison shows this. And if anyone had any doubts the blatantly political decision in Bush s Gore proved it when 5 Republican judges put a Republican into the White House.,marbury v madison,AGAINST,1
"The problem is wound up in a simple fact: Division I and probably most of Div II and a lot of Division III institutions serve as (unpaid and unacknowledged) minor league franchises in football and basketball. (That is not the case for baseball.) Academics are secondary. The answer to the dilemma is clear but unlikely: divorce the franchise and the academic operations. Athletes recruited (or volunteering) for either sport should not be expected to enroll for degrees or take classes. They may opt to do so, but must achieve and have access to certain kinds of academic support. Those athletes in either sport who opt not to enroll or who enroll but find they must drop out would be assured places as students for (pick a number of years), beyond the their collegiate playing days. Frankly, I'd prefer simply to force the NFL and the NBA to set up a separate minor league system, as MLB has for many decades. But, given alumni and other pressures, that is unlikely. So, admit the true nature of the relationship (of great advantage to NFL owners) and work around it, without compromising the academic enterprise.",athlete,AGAINST,1
Home schooling is pushed by the religious right because it does contain a healthy dose of religion of the non-liberal style. Tax credits for home schooling are just another way of using tax money for religious purposes. Next this group will push for payments to parents as teachers.,home schooling,AGAINST,1
"Innovation, a concrete concept, was once linked to Progress, an abstract concept. This is no longer the case. We live in a world in which the main goal of innovators is to disrupt our lives by forcing us to by new stuff. As Edward Abbey said, ""Growth for the sake of growth is the ideology of a cancer cell.""",technological innovation,AGAINST,1
"""Two middle-aged men, both retired generals, knelt at the feet of Thailand's king, Bhumibol Adulyadej, who admonished them to settle their differences."" Knelt at the feet. Wow. There isn't enough room in the world for that big of an ego.",ego,AGAINST,1
"By Mr Mossoff's reasoning, naturally occurring non-isolated electricity (e..g, in thunderstorms) would not be patentable, but any use in a house would be. Similarly, rainwater would not be patentable, but water inside a building's plumbing system would be. Blood inside the body? Non-patentable. Stored in a bloodbank? Patentable! Fingernails could be grown without fear of lawsuit, but at the moment they are clipped, they would be the subject of litigation? Absurd, to say the least.",patent,AGAINST,1
"I agree with McCluskey. It is unconstitutional intrusion. If Republicans back the idea, they definitely have not gotten the message. The federal government should not be financing education, either directly through grants or indirectly through tax credits. Education is a 100% responsibility and obligation of the states. I do support tax credits by the separate states, however. Home schooled children should get the same state financial backing given to public school attendees, and yes, that would be a threat to public education. So be it. They need the threat.",home schoolers,AGAINST,1
"Now would be a good time to begin instituting a serious conservation program to obviate the need for whatever oil might be found off shore in the Atlantic. What's so good about more oil? It is polluting the planet to a dangerous degree, we lust for it to the extent of going to war for it. Our modern civilization runs on machines that run on it. But there are realistic alternatives that can be developed. Going after more oil instead merely perpetuates a sunk cost fallacy that says we are in too deep to try something else and further enriches a few corporations at the expense of our shared planet. The earth is a finite place and everything in it is of limited quantity. Sooner than you think we will have no choice but to explore other options. Why wait until there is a crisis?",oil conservation,AGAINST,1
Of course tax breaks for the rich have hurt New York City--and perhaps the country. These tax breaks reveal the basis of inequality--subsidies for the wealthy at the expense of everyone else. That many of the wealthy taking advantage of these policies are foreigners only adds to the problem. Everyone would gain from making these wealthy moochers pay their fair share.,tax break,AGAINST,1
"The US is becoming more and more like a military campground. I live in Vancouver, a short distance from the US-Canada border, supposedly a ""friendly' border. It's not friendly at all. The agents inside the building (where anyone who doesn't have a US or Canadian passport has to go) all carry pistols and are dressed in black, even people who are doing typing. I have heard these agents make disparaging comments, based on the appearance of people going into the US. I dread going across this border. I have crossed probably 20 or 30 borders of various countries, including Bulgaria, the former USSR, the former Yugoslavia, and so on. None of them were as depressing as the US border. The basic fact behind concerns about border security is, in my opinion, simply xenophobia.",us/canada border,AGAINST,1
"The costs of running a university have been increasing alarmingly. Having foreign and out of state students paying full tuition seems like a good response, but it becomes a chicken and egg situation: which caused the other? What has caused the administration outnumber or nearly outnumber teaching staff? I especially am unhappy with large increases in foreign students because they can use the state-side degree to help short-cut visa rules: foreign students are effectively paying tuition as a penalty or fee to get access visa ahead of less wealthy applicants. The admissions office can hold a lot of power over foreign students with little clear oversight.",university education,AGAINST,1
